Executed at 2024-07-17_15-56-39
Training and stitching a VGG19 model
seed=17
train_mnist_model=True, model_to_load=None
original_train_epochs=200, stitch_train_epochs=10
synthetic_dataset_noise=0.1
================================================
Train VGG19 on MNIST data
Epoch 0, loss 1077.42
Epoch 1, loss 1077.01
Epoch 2, loss 1076.92
Epoch 3, loss 1076.87
Epoch 4, loss 1076.83
Epoch 5, loss 1076.75
Epoch 6, loss 1076.66
Epoch 7, loss 1076.43
Epoch 8, loss 1075.85
Epoch 9, loss 1073.71
Epoch 10, loss 848.38
Epoch 11, loss 172.74
Epoch 12, loss 79.88
Epoch 13, loss 54.79
Epoch 14, loss 40.12
Epoch 15, loss 33.17
Epoch 16, loss 26.56
Epoch 17, loss 20.87
Epoch 18, loss 19.49
Epoch 19, loss 16.00
Epoch 20, loss 13.77
Epoch 21, loss 11.87
Epoch 22, loss 10.74
Epoch 23, loss 8.61
Epoch 24, loss 7.62
Epoch 25, loss 6.78
Epoch 26, loss 6.41
Epoch 27, loss 5.44
Epoch 28, loss 5.32
Epoch 29, loss 4.62
Epoch 30, loss 3.27
Epoch 31, loss 2.19
Epoch 32, loss 3.23
Epoch 33, loss 1.77
Epoch 34, loss 2.05
Epoch 35, loss 1.93
Epoch 36, loss 2.42
Epoch 37, loss 1.59
Epoch 38, loss 1.35
Epoch 39, loss 0.43
Epoch 40, loss 0.47
Epoch 41, loss 1.24
Epoch 42, loss 2.02
Epoch 43, loss 1.62
Epoch 44, loss 0.69
Epoch 45, loss 0.85
Epoch 46, loss 0.31
Epoch 47, loss 0.28
Epoch 48, loss 0.14
Epoch 49, loss 0.16
Epoch 50, loss 0.04
Epoch 51, loss 0.02
Epoch 52, loss 0.04
Epoch 53, loss 0.02
Epoch 54, loss 0.01
Epoch 55, loss 0.01
Epoch 56, loss 0.01
Epoch 57, loss 0.01
Epoch 58, loss 0.01
Epoch 59, loss 0.01
Epoch 60, loss 0.01
Epoch 61, loss 0.01
Epoch 62, loss 0.01
Epoch 63, loss 0.01
Epoch 64, loss 0.01
Epoch 65, loss 0.01
Epoch 66, loss 0.01
Epoch 67, loss 0.01
Epoch 68, loss 0.01
Epoch 69, loss 0.01
Epoch 70, loss 0.01
Epoch 71, loss 0.01
Epoch 72, loss 0.01
Epoch 73, loss 0.01
Epoch 74, loss 0.01
Epoch 75, loss 0.01
Epoch 76, loss 0.01
Epoch 77, loss 0.01
Epoch 78, loss 0.01
Epoch 79, loss 0.01
Epoch 80, loss 0.01
Epoch 81, loss 0.01
Epoch 82, loss 0.01
Epoch 83, loss 0.01
Epoch 84, loss 0.01
Epoch 85, loss 0.01
Epoch 86, loss 0.01
Epoch 87, loss 0.01
Epoch 88, loss 0.26
Epoch 89, loss 1.21
Epoch 90, loss 0.35
Epoch 91, loss 0.06
Epoch 92, loss 0.04
Epoch 93, loss 0.03
Epoch 94, loss 0.02
Epoch 95, loss 0.02
Epoch 96, loss 0.01
Epoch 97, loss 0.01
Epoch 98, loss 0.01
Epoch 99, loss 0.01
Epoch 100, loss 0.01
Epoch 101, loss 0.01
Epoch 102, loss 0.01
Epoch 103, loss 0.01
Epoch 104, loss 0.01
Epoch 105, loss 0.01
Epoch 106, loss 0.01
Epoch 107, loss 0.01
Epoch 108, loss 0.01
Epoch 109, loss 0.01
Epoch 110, loss 0.01
Epoch 111, loss 0.01
Epoch 112, loss 0.01
Epoch 113, loss 0.01
Epoch 114, loss 0.02
Epoch 115, loss 0.01
Epoch 116, loss 0.01
Epoch 117, loss 0.01
Epoch 118, loss 0.01
Epoch 119, loss 0.01
Epoch 120, loss 0.01
Epoch 121, loss 0.01
Epoch 122, loss 0.01
Epoch 123, loss 0.01
Epoch 124, loss 0.01
Epoch 125, loss 0.01
Epoch 126, loss 0.01
Epoch 127, loss 0.01
Epoch 128, loss 0.01
Epoch 129, loss 0.01
Epoch 130, loss 0.01
Epoch 131, loss 0.01
Epoch 132, loss 0.01
Epoch 133, loss 0.01
Epoch 134, loss 0.01
Epoch 135, loss 0.01
Epoch 136, loss 0.01
Epoch 137, loss 0.01
Epoch 138, loss 0.01
Epoch 139, loss 0.01
Epoch 140, loss 0.01
Epoch 141, loss 0.01
Epoch 142, loss 0.01
Epoch 143, loss 0.01
Epoch 144, loss 0.01
Epoch 145, loss 0.01
Epoch 146, loss 0.01
Epoch 147, loss 0.01
Epoch 148, loss 0.01
Epoch 149, loss 0.01
Epoch 150, loss 0.01
Epoch 151, loss 0.01
Epoch 152, loss 0.01
Epoch 153, loss 0.01
Epoch 154, loss 0.01
Epoch 155, loss 0.01
Epoch 156, loss 0.01
Epoch 157, loss 0.01
Epoch 158, loss 0.01
Epoch 159, loss 0.01
Epoch 160, loss 0.01
Epoch 161, loss 0.01
Epoch 162, loss 0.01
Epoch 163, loss 0.01
Epoch 164, loss 0.01
Epoch 165, loss 0.01
Epoch 166, loss 0.01
Epoch 167, loss 0.02
Epoch 168, loss 0.01
Epoch 169, loss 0.02
Epoch 170, loss 0.01
Epoch 171, loss 0.01
Epoch 172, loss 0.01
Epoch 173, loss 0.01
Epoch 174, loss 0.02
Epoch 175, loss 0.02
Epoch 176, loss 0.01
Epoch 177, loss 0.01
Epoch 178, loss 0.01
Epoch 179, loss 0.01
Epoch 180, loss 0.01
Epoch 181, loss 0.01
Epoch 182, loss 0.01
Epoch 183, loss 0.02
Epoch 184, loss 0.02
Epoch 185, loss 0.02
Epoch 186, loss 0.01
Epoch 187, loss 0.02
Epoch 188, loss 0.02
Epoch 189, loss 0.01
Epoch 190, loss 0.01
Epoch 191, loss 0.02
Epoch 192, loss 0.02
